OBJECTID,PHONE,ZIP,GIS_ID,ADDRESS,NUMROOMS,NAME,X,Y,ADDRID
124,202-462-9001,20005,Htl_70,1430 RHODE ISLAND AVENUE NW,178,HOTEL HELIX,397137.34,137802.82,279165
125,202-828-2600,20006,Htl_71,2019 PENNSYLVANIA AVENUE NW,140,HOTEL LOMBARDY,396016.94,137076.17,307825
126,202-296-7600,20036,Htl_72,1310 NEW HAMPSHIRE AVENUE NW,82,HOTEL MADERA,396031.56,137753.59,243325
127,202-628-7177,20004,Htl_73,700 F STREET NW,183,HOTEL MONACO,398051.36,136571.24,301590
128,202-448-1800,20037,Htl_74,2121 P STREET NW,335,HOTEL PALOMAR,395887.77,137995.72,225942
129,202-232-8000,20036,Htl_75,1315 16TH STREET NW,137,HOTEL ROUGE,396866.29,137823.52,242317
130,202-730-8800,20005,Htl_76,806 15TH STREET NW,237,HOTEL SOFITEL LAFAYETTE SQUARE,397051.78,136961.98,279949
132,202-737-1234,20001,Htl_78,400 NEW JERSEY AVENUE NW,836,HYATT REGENCY WASHINGTON ON CAPITOL HILL,398984.74,136391.14,279731
133,202-544-6011,20003,Htl_79,504 INDEPENDENCE AVENUE SE,,INDEPENDENCE HOUSE BED & BREAKFAST,400070.75,135549.76,14495
134,202-962-4482,20001,Htl_136,901 MASSACHUSETTS AVENUE NW,1175,WASHINGTON MARRIOT MARQUIS,397900.49,137268.87,239811
135,202-872-1500,20037,Htl_137,1221 22ND STREET NW,470,WASHINGTON MARRIOTT,395794.15,137580.78,300163
136,202-328-2000,20008,Htl_138,2660 WOODLEY ROAD NW,1300,WASHINGTON MARRIOTT WARDMAN PARK,395256.86,139650.43,284450
137,202-842-1300,20005,Htl_139,10 THOMAS CIRCLE NW,355,WASHINGTON PLAZA,397313.44,137599.78,298252
138,202-429-0100,20037,Htl_140,2350 M STREET NW,267,WESTIN GEORGETOWN,395568.16,137458.44,242338
139,202-462-7574,20009,Htl_141,1309 R STREET NW,10,WILLIAM LEWIS HOUSE BED & BREAKFAST,397388.27,138325.9,240527
140,202-667-0300,20009,Htl_142,1842 16TH STREET NW,58,WINDSOR INN,396795.86,138602.89,241907
141,202-483-7700,20008,Htl_143,2116 KALORAMA ROAD NW,43,WINDSOR PARK HOTEL,395789.75,138921.37,234981
142,202-667-0218,20008,Htl_144,2647 WOODLEY ROAD NW,15,WOODLEY PARK GUEST HOUSE,395340.51,139778.29,219986
